Bauhinia purpurea	L.	butterfly tree
Bauhinia tomentosa	L.	St. Thomas tree
Bauhinia variegata	L.	mountain ebony
Begonia coccinea	Hook.	scarlet begonia
Begonia convolvulacea	A. DC.	morning-glory begonia
Begonia cucullata	Willd.	clubed begonia
Begonia decandra	Pav. ex A. DC.	native begonia
Begonia heracleifolia	Cham. & Schltdl.	starleaf begonia
Begonia hirtella	Link	Brazilian begonia
Begonia nelumbiifolia	Cham. & Schltdl.	lilypad begonia
Beilschmiedia pendula	(Sw.) Hemsl.	slugwood
Belamcanda chinensis	(L.) DC.	blackberry lily
Bernardia dichotoma	(Willd.) Müll. Arg.	Caribbean myrtlecroton
Beta vulgaris	L.	common beet
Bidens alba	(L.) DC.	romerillo
Bidens alba var. radiata	(L.) DC.	romerillo
Bidens cynapiifolia	Kunth	West Indian beggarticks
Bidens pilosa	L.	hairy beggarticks
Bidens reptans	(L.) G. Don	manzanilla trepador
Bidens reptans var. reptans	(L.) G. Don	manzanilla trepador
Bidens reptans var. urbanii	(L.) G. Don	Urban's beggartick
Billbergia pyramidalis	(Sims) Lindl.	foolproofplant
Bixa orellana	L.	lipsticktree
Blechnum divergens	(Kunze) Mett.	ravine midsorus fern
Blechnum fragile	(Liebm.) Morton & Lellinger	fragile midsorus fern
Blechnum insularum	Morton & Lellinger	graceful midsorus fern
Blechnum lineatum	(Sw.) C. Chr.	rockbank midsorus fern
Blechnum occidentale	L.	hammock fern
Blechnum polypodioides	Raddi	narrowleaf midsorus fern
Blechnum serrulatum	Rich.	toothed midsorus fern
Bletia patula	Graham	flor de pasmo
Bletia patula var. alba	Graham	flor de pasmo
Bletia patula var. patula	Graham	flor de pasmo
Blighia sapida	K.D. Koenig	akee
Blutaparon vermiculare	(L.) Mears	silverhead
Bocconia frutescens	L.	parrotweed
Boehmeria cylindrica	(L.) Sw.	smallspike false nettle
Boehmeria nivea	(L.) Gaudich.	Chinese grass
Boehmeria repens	(Griseb.) Weddell	West Indian false nettle
Boerhavia coccinea	Mill.	scarlet spiderling
Boerhavia diffusa	L.	red spiderling
Boerhavia erecta	L.	erect spiderling
Boerhavia scandens	L.	climbing wartclub
Bolbitis aliena	(Sw.) Alston	diamond creepingfern
Bolbitis nicotianifolia	(Sw.) Alston	thinleaf creepingfern
Bolbitis pergamentacea	(Maxon) Ching	woodland creepingfern
Bolbitis portoricensis	(Spreng.) Hennipman	Puerto Rico creepingfern
Bontia daphnoides	L.	white alling
Borrichia arborescens	(L.) DC.	tree seaside tansy
Bothriochloa ischaemum	(L.) Keng	yellow bluestem
Bothriochloa ischaemum var. songarica	(L.) Keng	yellow bluestem
Bothriochloa pertusa	(L.) A. Camus	pitted beardgrass
Bothriochloa saccharoides	(Sw.) Rydb.	silver bluestem
Botrychium jenmanii	Underw.	Dixie grapefern
Bouchea prismatica	(L.) Kuntze	prism bouchea
Bougainvillea glabra	Choisy	paperflower
Bougainvillea spectabilis	Willd.	great bougainvillea
Bourreria radula	(Poir.) G. Don	rough strongbark
Bourreria succulenta	Jacq.	bodywood
Bourreria virgata	(Sw.) G. Don	roble de guayo
Bouteloua americana	(L.) Scribn.	American grama
Bouteloua juncea	(Desv. ex P. Beauv.) Hitchc.	lamilla
Bouteloua repens	(Kunth) Scribn. & Merr.	slender grama
Brachionidium ciliolatum	Garay	hairy cup orchid
Brachionidium sherringii	Rolfe	Sherring's cup orchid
Brachyelytrum erectum	(Schreb. ex Spreng.) P. Beauv.	bearded shorthusk
Bracteantha bracteata	(Vent.) Anderb. & Heagi	bracted strawflower
Brasiliopuntia brasiliensis	(Willd.) A. Berger	Brazilian pricklypear
Brassavola cucullata	(L.) R. Br.	daddy longlegs orchid
Brassavola nodosa	(L.) Lindl.	lady of the night orchid
Brassica juncea	(L.) Czern.	brown mustard
Brassica oleracea	L.	cabbage
Breynia disticha	J.R. Forst. & G. Forst.	snowbush
Bromelia pinguin	L.	pinguin
Broughtonia domingensis	(Lindl.) Rolfe	king orchid
Browallia americana	L.	Jamaican forget-me-not
Brugmansia ×candida	Pers. (pro sp.)	angel's-trumpet
Brugmansia suaveolens	(Humb. & Bonpl. ex Willd.) Bercht. & C. Presl	angel's-tears
Brunellia comocladiifolia	Humb. & Bonpl.	West Indian sumac
Brunfelsia americana	L.	American brunfelsia
Brunfelsia densifolia	Krug & Urb.	Serpentine Hill raintree
Brunfelsia lactea	Krug & Urb.	vega blanca
Brunfelsia nitida	Benth.	Cuban raintree
Brunfelsia portoricensis	Krug & Urb.	Puerto Rico raintree
Brya ebenus	(L.) DC.	ebony coccuswood
Buchenavia tetraphylla	(Aubl.) Howard	fourleaf buchenavia
Buchnera americana	L.	American bluehearts
Buchnera longifolia	Kunth	elongated bluehearts
Bucida buceras	L.	gregorywood
Buddleja davidii	Franch.	orange eye butterflybush
Buddleja madagascariensis	Lam.	smokebush
Bulbophyllum pachyrachis	(A. Rich.) Griseb.	rat-tail orchid
Bulbostylis antillana	(Britton) Fernald	densetuft hairsedge
Bulbostylis capillaris	(L.) Kunth ex C.B. Clarke	densetuft hairsedge
Bulbostylis curassavica	(Britton) Britton ex Kük.	West Indian hairsedge
Bulbostylis juncoides	(Vahl) Kük.	rush hairsedge
Bulbostylis pauciflora	(Liebm.) C.B. Clarke	fewflower hairsedge
Bulbostylis stenocarpa	Kük.	Caribbean hairsedge
Bulbostylis subaphylla	C.B. Clarke	
Bulbostylis vestita	(Kunth) C.B. Clarke	tufted hairsedge
Bunchosia glandulifera	(Jacq.) Kunth	cafe falso
Bunchosia glandulosa	(Cav.) DC.	cafe forastero
Bunchosia polystachia	(Andrews) DC.	woodland coffee
Burmannia biflora	L.	northern bluethread
Burmannia capitata	(J.F. Gmel.) Mart.	southern bluethread
Bursera simaruba	(L.) Sarg.	gumbo limbo
Buxus portoricensis	Alain	Puerto Rico box
Buxus vahlii	Baill.	Vahl's box
Byrsonima crassifolia	(L.) Kunth	maricao cimun
Byrsonima lucida	(Mill.) DC.	Long Key locustberry
Byrsonima spicata	(Cav.) Kunth	doncella
Byrsonima wadsworthii	Little	almendrillo
Cabomba furcata	Schult. & Schult. f.	forked fanwort
Cabomba haynesii	Wiersema	fishgrass
Caesalpinia bonduc	(L.) Roxb.	yellow nicker
Caesalpinia ciliata	(Bergius ex Wikstr.) Urb.	mato
Caesalpinia coriaria	(Jacq.) Willd.	divi divi
Caesalpinia culebrae	(Britton & P. Wilson) Alain	smooth yellow nicker
Caesalpinia decapetala	(Roth) Alston	shoofly
Caesalpinia divergens	Urb.	small yellow nicker
Caesalpinia gilliesii	(Wall. ex Hook.) Wall. ex D. Dietr.	bird-of-paradise shrub
Caesalpinia major	(Medik.) Dandy & Exell	Hawai'i pearls
Caesalpinia monensis	Britton	black nicker
Caesalpinia portoricensis	(Britton & P. Wilson) Alain	brown nicker
Caesalpinia pulcherrima	(L.) Sw.	pride-of-Barbados
Cajanus cajan	(L.) Millsp.	pigeonpea
Cakile lanceolata	(Willd.) O.E. Schulz	coastal searocket
Caladium bicolor	(Aiton) Vent.	heart of Jesus
Calathea allouia	(Aubl.) Lindl.	llerenes
Calathea crotalifera	S. Watson	rattlesnake plant
Calathea lutea	(Aubl.) Schult.	pampano
Calathea zebrina	(Sims) Lindl.	zebraplant
Calliandra haematomma	(Bertero ex DC.) Benth.	red powderpuff
Calliandra locoensis	R. Garcia & D. Kolterman	Rio Loc stickpea
Calliandra surinamensis	Benth.	Surinamese stickpea
Callicarpa ampla	Schauer	caparosa
Callisia fragrans	(Lindl.) Woodson	basketplant
Callisia monandra	(Sw.) Schult. & Schult. f.	cojite morado
Callisia repens	(Jacq.) L.	creeping inchplant
Callistemon citrinus	(Curtis) Skeels	crimson bottlebrush
Caloncoba echinata	(Oliv.) Gilg	caloncoba
Calophyllum antillanum	Britton	Antilles calophyllum
Calophyllum inophyllum	L.	Alexandrian laurel
Calopogonium caeruleum	(Benth.) Suav.	jicama
Calopogonium mucunoides	Desv.	calopo
Calotropis procera	(Aiton) W.T. Aiton	roostertree
Calycophyllum candidissimum	(Vahl) DC.	degame
Calyptranthes acevedoi	Alain	Puerto Rico mountainbay
Calyptranthes estremenae	Alain	Las Cuevas mountainbay
Calyptranthes krugii	Kiaersk.	limoncillo
Calyptranthes luquillensis	Alain	Luquillo forest lidflower
Calyptranthes martorellii	Alain	Martorell's lidflower
Calyptranthes pallens	Griseb.	pale lidflower
Calyptranthes peduncularis	Alain	Maricao lidflower
Calyptranthes portoricensis	Britton	Puerto Rico lidflower
Calyptranthes sintenisii	Kiaersk.	limoncillo de monte
Calyptranthes thomasiana	Berg	Thomas' lidflower
Calyptranthes triflora	Alain	threeblossom lidflower
Calyptranthes woodburyi	Alain	Woodbury's lidflower
Calyptranthes zuzygium	(L.) Sw.	myrtle of the river
Calyptronoma rivalis	(O.F. Cook) L.H. Bailey	Puerto Rico manac
Campylocentrum fasciolum	(Lindl.) Cogn.	arboreal bentspur orchid
Campylocentrum filiforme	(Sw.) Cogn. ex Kuntze	needleroot bentspur orchid
Campylocentrum micranthum	(Lindl.) Maury	fairy bentspur orchid
Campylocentrum pachyrrhizum	(Rchb. f.) Rolfe	leafless bentspur orchid
Campylocentrum pygmaeum	Cogn.	pygmy bentspur orchid
Campyloneurum angustifolium	(Sw.) Fée	narrow strapfern
Campyloneurum costatum	(Kunze) C. Presl	tailed strapfern
Campyloneurum latum	T. Moore	birdwing fern
Campyloneurum phyllitidis	(L.) C. Presl	long strapfern
Campyloneurum repens	(Aubl.) C. Presl	creeping strapfern
Cananga odorata	(Lam.) Hook. f. & Thomson	ilang-ilang
Canavalia ensiformis	(L.) DC.	jack bean
Canavalia nitida	(Cav.) Piper	Bahama baybean
Canavalia rosea	(Sw.) DC.	baybean
Canella winterana	(L.) Gaertn.	wild cinnamon
Cannabis sativa	L.	marijuana
Cannabis sativa ssp. sativa var. sativa	L.	marijuana
Canna glauca	L.	maraca amarilla
Canna indica	L.	Indian shot
Canna jaegeriana	Urb.	Caribbean canna
Canna pertusa	Urb.	maraca montuna
Canna sylvestris	Roscoe	maraca roja
Caperonia palustris	(L.) A. St.-Hil.	sacatrapo
