Abelmoschus esculentus	okra
Bracteantha bracteata	bracted strawflower
Brasiliopuntia brasiliensis	Brazilian pricklypear
Brassavola cucullata	daddy longlegs orchid
Brassavola nodosa	lady of the night orchid
Brassica juncea	brown mustard
Brassica oleracea	cabbage
Breynia disticha	snowbush
Bromelia pinguin	pinguin
Broughtonia domingensis	king orchid
Browallia americana	Jamaican forget-me-not
Brugmansia ×candida	angel's-trumpet
Brugmansia suaveolens	angel's-tears
Brunellia comocladiifolia	West Indian sumac
Brunfelsia americana	American brunfelsia
Brunfelsia densifolia	Serpentine Hill raintree
Brunfelsia lactea	vega blanca
Brunfelsia nitida	Cuban raintree
Brunfelsia portoricensis	Puerto Rico raintree
Brya ebenus	ebony coccuswood
Buchenavia tetraphylla	fourleaf buchenavia
Buchnera americana	American bluehearts
Buchnera longifolia	elongated bluehearts
Bucida buceras	gregorywood
Buddleja davidii	orange eye butterflybush
Buddleja madagascariensis	smokebush
Bulbophyllum pachyrachis	rat-tail orchid
Bulbostylis antillana	densetuft hairsedge
Bulbostylis capillaris	densetuft hairsedge
Bulbostylis curassavica	West Indian hairsedge
Bulbostylis juncoides	rush hairsedge
Bulbostylis pauciflora	fewflower hairsedge
Bulbostylis stenocarpa	Caribbean hairsedge
Bulbostylis subaphylla	
Bulbostylis vestita	tufted hairsedge
Bunchosia glandulifera	cafe falso
Bunchosia glandulosa	cafe forastero
Bunchosia polystachia	woodland coffee
Burmannia biflora	northern bluethread
Burmannia capitata	southern bluethread
Bursera simaruba	gumbo limbo
Buxus portoricensis	Puerto Rico box
Buxus vahlii	Vahl's box
Byrsonima crassifolia	maricao cimun
Byrsonima lucida	Long Key locustberry
Byrsonima spicata	doncella
Byrsonima wadsworthii	almendrillo
Cabomba furcata	forked fanwort
Cabomba haynesii	fishgrass
Caesalpinia bonduc	yellow nicker
Caesalpinia ciliata	mato
Caesalpinia coriaria	divi divi
Caesalpinia culebrae	smooth yellow nicker
Caesalpinia decapetala	shoofly
